size,loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.02,49.95,49.95,100,100,100,66.57,0.69
0.02,0.03,49.95,49.95,100,100,100,66.57,0.55
0.03,0.07,49.95,49.95,100,100,100,66.57,0.78
0.04,0.08,49.95,49.95,100,100,100,66.57,0.98
0.05,0.09,49.95,49.95,100,100,100,66.57,1.17
0.06,0.09,49.95,49.95,100,100,100,66.57,1.52
0.07,0.1,49.95,49.95,100,100,100,66.57,12.46
0.08,0.11,49.95,49.95,100,100,100,66.57,12.51
0.09,0.12,49.95,49.95,100,100,100,66.57,12.87
0.1,0.13,49.95,49.95,100,100,100,66.57,13.26
0.2,0.22,49.95,49.95,100,100,100,66.57,18.18
0.3,0.29,49.95,49.92,98.13,98.12,98.17,66.12,36.88
0.4,0.4,49.95,50.02,87.56,87.51,88.79,63.51,49.98
0.5,0.48,49.95,50.24,76.85,76.62,80.82,60.49,65.9
0.6,0.57,49.95,50.12,83.47,83.41,85.29,62.52,70.21
0.7,0.62,49.95,50.2,80.46,80.34,82.82,61.74,81.5
0.8,0.69,49.95,50.11,71.37,71.3,77.39,58.7,84.88
0.9,0.8,49.95,49.69,39.99,40.18,76.22,42.28,93.14
1,0.94,49.95,49.63,37.77,38.04,76.59,41.02,97.14
5,5.06,49.95,50.4,60.22,59.83,73.62,54.24,317.97
10,9.94,49.95,50.27,67.34,67.07,75.85,57.15,405.35
15,15,49.95,50.28,67.32,67.05,75.84,57.14,402.64
20,19.75,49.95,50.28,67.32,67.05,75.84,57.14,408.87
25,24.78,49.95,50.28,67.32,67.05,75.84,57.14,406.72
30,29.57,49.95,50.28,67.32,67.05,75.84,57.14,406.7
35,34.76,49.95,50.28,67.32,67.05,75.84,57.14,408.93
40,39.69,49.95,50.28,67.32,67.05,75.84,57.14,406.68
45,44.8,49.95,50.28,67.32,67.05,75.84,57.14,411.44
50,50.07,49.95,50.28,67.32,67.05,75.84,57.14,409.99
55,54.95,49.95,50.28,67.32,67.05,75.84,57.14,408.65
60,59.67,49.95,50.28,67.32,67.05,75.84,57.14,404.49
65,64.89,49.95,50.28,67.32,67.05,75.84,57.14,405.94
70,70.08,49.95,50.28,67.32,67.05,75.84,57.14,409.29
75,75.3,49.95,50.28,67.32,67.05,75.84,57.14,413.94
80,80.01,49.95,50.28,67.32,67.05,75.84,57.14,415.18
85,85.28,49.95,50.28,67.32,67.05,75.84,57.14,422.85
90,90.02,49.95,50.28,67.32,67.05,75.84,57.14,416.98
95,95.14,49.95,50.28,67.32,67.05,75.84,57.14,413.19
100,100,49.95,50.28,67.32,67.05,75.84,57.14,421.18
